"Catalog ID";"UCAC4 787-033850";;;;;;
"Catalog Right Ascension";"21h27m48.096s";;;;;;
"Catalog Declination";"+67h21m42.01s";;;;;;
"Catalog Magnitude";11.94;;;;;;
"Reference catalog ID";"UCAC4 787-033850";;;;;;
"Reference catalog Right Ascension";"21h27m48.096s";;;;;;
"Reference catalog Declination";"+67h21m42.01s";;;;;;
"Reference catalog Magnitude";11.94;;;;;;
RA;Dec;Aperture;refAperture;Magnitude;"Exp begin";"Exp end";
"21h27m44.516s";"+67°21'46.02""";"231.459";"231.459";-0.0;1636223271053;1636223361114;"21h27m44.516s"
"21h27m46.508s";"+67°21'53.67""";"224.076";"224.076";-0.0;1636222849912;1636222939913;"21h27m46.508s"
"21h27m47.362s";"+67°22'00.22""";"285.889";"285.889";-0.0;1636219669724;1636219759708;"21h27m47.362s"
"21h27m45.573s";"+67°21'55.05""";"231.758";"231.758";-0.0;1636221487577;1636221577448;"21h27m45.573s"
"21h27m46.819s";"+67°21'41.14""";"249.62";"249.62";-0.0;1636222170821;1636222260824;"21h27m46.819s"
"21h27m48.601s";"+67°21'53.98""";"221.172";"221.172";-0.0;1636220351720;1636220441721;"21h27m48.601s"
"21h27m43.922s";"+67°21'48.72""";"256.159";"256.159";-0.0;1636221717028;1636221807035;"21h27m43.922s"
"21h27m45.814s";"+67°21'50.31""";"261.624";"261.624";-0.0;1636220807893;1636220897894;"21h27m45.814s"
"21h27m44.695s";"+67°21'56.67""";"254.248";"254.248";-0.0;1636220577908;1636220667916;"21h27m44.695s"
"21h27m47.409s";"+67°21'54.53""";"280.592";"280.592";-0.0;1636219895322;1636219985322;"21h27m47.409s"
"21h27m46.937s";"+67°21'41.67""";"280.876";"280.876";-0.0;1636221945811;1636222035814;"21h27m46.937s"
"21h27m46.049s";"+67°21'53.47""";"238.641";"238.641";-0.0;1636221029696;1636221119696;"21h27m46.049s"
"21h27m47.053s";"+67°21'52.70""";"248.35";"248.35";-0.0;1636221254325;1636221344328;"21h27m47.053s"
"21h27m45.126s";"+67°21'44.00""";"272.836";"272.836";-0.0;1636220125282;1636220215285;"21h27m45.126s"
"21h27m42.573s";"+67°21'48.17""";"246.398";"246.398";-0.0;1636218091877;1636218181877;"21h27m42.573s"
"21h27m47.858s";"+67°21'49.62""";"260.978";"260.978";-0.0;1636219435602;1636219525607;"21h27m47.858s"
"21h27m46.447s";"+67°21'45.53""";"216.427";"216.427";-0.0;1636218775425;1636218865424;"21h27m46.447s"
"21h27m48.750s";"+67°21'41.17""";"253.109";"253.109";-0.0;1636218545796;1636218635802;"21h27m48.750s"
"21h27m47.131s";"+67°21'47.70""";"221.459";"221.459";-0.0;1636219205737;1636219295738;"21h27m47.131s"
"21h27m46.676s";"+67°21'44.02""";"268.901";"268.901";-0.0;1636218996912;1636219086793;"21h27m46.676s"
"21h27m46.415s";"+67°21'47.27""";"210.816";"210.816";-0.0;1636218321917;1636218411925;"21h27m46.415s"
"21h27m45.692s";"+67°21'39.27""";"224.357";"224.357";-0.0;1636217871568;1636217961570;"21h27m45.692s"
"21h27m45.495s";"+67°21'45.94""";"256.458";"256.458";-0.0;1636217638207;1636217728208;"21h27m45.495s"
"21h27m45.366s";"+67°21'45.94""";"256.617";"256.617";-0.0;1636216953963;1636217043968;"21h27m45.366s"
"21h27m46.026s";"+67°21'47.48""";"248.315";"248.315";-0.0;1636217182818;1636217272848;"21h27m46.026s"
"21h27m48.763s";"+67°21'43.37""";"263.722";"263.722";-0.0;1636217406886;1636217496890;"21h27m48.763s"
"21h27m45.960s";"+67°22'02.16""";"233.597";"233.597";-0.0;1636216507097;1636216597102;"21h27m45.960s"
"21h27m45.740s";"+67°21'46.00""";"252.519";"252.519";-0.0;1636216734172;1636216824174;"21h27m45.740s"
"21h27m45.191s";"+67°21'53.33""";"199.166";"199.166";-0.0;1636215827539;1636215917547;"21h27m45.191s"
"21h27m48.183s";"+67°21'45.05""";"270.312";"270.312";-0.0;1636216279899;1636216369902;"21h27m48.183s"
"21h27m45.896s";"+67°21'35.11""";"263.164";"263.164";-0.0;1636216052515;1636216142718;"21h27m45.896s"
"21h27m45.458s";"+67°21'39.23""";"668.539";"668.539";-0.0;1636215377682;1636215467686;"21h27m45.458s"
"21h27m48.751s";"+67°21'46.63""";"301.154";"301.154";-0.0;1636215605174;1636215695185;"21h27m48.751s"
"21h27m45.828s";"+67°21'43.54""";"279.498";"279.498";-0.0;1636214928410;1636215018413;"21h27m45.828s"
"21h27m48.739s";"+67°21'46.76""";"235.414";"235.414";-0.0;1636215151032;1636215241034;"21h27m48.739s"
"21h27m47.201s";"+67°21'48.36""";"255.045";"255.045";-0.0;1636214247443;1636214337450;"21h27m47.201s"
"21h27m44.242s";"+67°21'44.54""";"272.563";"272.563";-0.0;1636214703601;1636214793605;"21h27m44.242s"
"21h27m46.567s";"+67°21'53.49""";"249.966";"249.966";-0.0;1636214021940;1636214111943;"21h27m46.567s"
"21h27m44.340s";"+67°21'24.37""";"250.144";"250.144";-0.0;1636212685355;1636212775355;"21h27m44.340s"
"21h27m45.160s";"+67°21'33.56""";"243.495";"243.495";-0.0;1636213806163;1636213896165;"21h27m45.160s"
"21h27m44.510s";"+67°21'50.49""";"270.602";"270.602";-0.0;1636213586940;1636213676929;"21h27m44.510s"
"21h27m49.903s";"+67°21'36.66""";"285.359";"285.359";-0.0;1636212905863;1636212995863;"21h27m49.903s"
"21h27m46.220s";"+67°21'49.78""";"736.839";"736.839";-0.0;1636213357856;1636213447859;"21h27m46.220s"
"21h27m46.666s";"+67°21'51.31""";"256.099";"256.099";-0.0;1636213128328;1636213218329;"21h27m46.666s"
"21h27m45.828s";"+67°21'43.54""";"279.498";"279.498";-0.0;1636214928410;1636215018413;"21h27m45.828s"
"21h27m46.567s";"+67°21'53.49""";"249.966";"249.966";-0.0;1636214021940;1636214111943;"21h27m46.567s"
"21h27m45.160s";"+67°21'33.56""";"243.495";"243.495";-0.0;1636213806163;1636213896165;"21h27m45.160s"
"21h27m44.510s";"+67°21'50.49""";"270.602";"270.602";-0.0;1636213586940;1636213676929;"21h27m44.510s"
