RA;Dec;Magnitude;"Exposure middle";"Uploaded by"
"05h48m24.009s";"+30°57'03.44""";1.1231079;"2022-03-02 21:15:37.983";rasto_muni
"05h48m23.991s";"+30°57'03.50""";1.1102923;"2022-03-02 21:11:04.265";rasto_muni
"05h48m23.988s";"+30°57'03.22""";1.1177716;"2022-03-02 21:06:30.493";rasto_muni
"05h48m24.000s";"+30°57'03.20""";1.1211163;"2022-03-02 21:08:01.739";rasto_muni
"05h48m24.000s";"+30°57'03.36""";1.1226376;"2022-03-02 20:58:53.826";rasto_muni
"05h48m23.995s";"+30°57'03.23""";1.1186111;"2022-03-02 21:03:27.992";rasto_muni
"05h48m23.980s";"+30°57'03.22""";1.1235775;"2022-03-02 21:01:56.630";rasto_muni
"05h48m23.991s";"+30°57'03.18""";1.1257243;"2022-03-02 21:00:25.286";rasto_muni
"05h48m24.000s";"+30°57'03.28""";1.1251804;"2022-03-02 21:04:59.253";rasto_muni
"05h48m23.990s";"+30°57'03.28""";1.1285679;"2022-03-02 20:57:22.503";rasto_muni
"05h48m23.999s";"+30°57'03.20""";1.1153497;"2022-03-02 20:55:51.180";rasto_muni
"05h48m23.993s";"+30°57'03.21""";1.1188699;"2022-03-02 20:51:17.117";rasto_muni
"05h48m24.002s";"+30°57'03.23""";1.1265239;"2022-03-02 20:54:19.816";rasto_muni
"05h48m23.997s";"+30°57'03.29""";1.1251074;"2022-03-02 20:49:45.757";rasto_muni
"05h48m23.995s";"+30°57'03.23""";1.1188787;"2022-03-02 20:52:48.478";rasto_muni
"05h48m23.988s";"+30°57'03.18""";1.126488;"2022-03-02 20:39:05.854";rasto_muni
"05h48m23.997s";"+30°57'03.27""";1.129403;"2022-03-02 20:45:11.561";rasto_muni
"05h48m23.991s";"+30°57'03.15""";1.1222734;"2022-03-02 20:42:08.593";rasto_muni
"05h48m23.984s";"+30°57'03.23""";1.1223935;"2022-03-02 20:43:40.80";rasto_muni
"05h48m23.992s";"+30°57'03.23""";1.1198014;"2022-03-02 20:40:37.225";rasto_muni
"05h48m23.988s";"+30°57'03.27""";1.1181378;"2022-03-02 20:46:42.908";rasto_muni
"05h48m23.988s";"+30°57'03.35""";1.1213925;"2022-03-02 20:48:14.268";rasto_muni
"05h48m24.006s";"+30°57'03.10""";1.1240278;"2022-03-02 20:33:00.370";rasto_muni
